protein_mention_id,doi,name,uniprot_accession,value_origin,source_database,match_status,qa_status,qa_note,rcsb_polymer_entity_ids,result_count
120,10.3390/gels11060402,DNase I,Q13609,external_descriptor,RCSB PDB,not_queried,not_queried,,,
121,10.3390/gels11060402,RNase I,Q45493,external_descriptor,RCSB PDB,not_queried,not_queried,,,
122,10.3390/gels11060402,Proteinase K,P06873,external_descriptor,RCSB PDB,not_queried,not_queried,,,
83,10.3390/molecules27217304,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
85,10.3390/molecules27217304,ovalbumin,P01012,external_descriptor,RCSB PDB,not_queried,not_queried,,,
226,10.3390/pharmaceutics12060543,type I collagen,P02452,external_descriptor,RCSB PDB,not_queried,not_queried,,,
229,10.3390/pharmaceutics12060543,insulin,P01308,external_descriptor,RCSB PDB,not_queried,not_queried,,,
11,10.3390/pharmaceutics13091473,Type I collagen,P02452,external_descriptor,RCSB PDB,not_queried,not_queried,,,
12,10.3390/pharmaceutics13091473,Elastin,P15502,external_descriptor,RCSB PDB,not_queried,not_queried,,,
165,10.3390/polym11040622,ovalbumin,P01012,external_descriptor,RCSB PDB,not_queried,not_queried,,,
