protein_mention_id,doi,name,uniprot_accession,value_origin,source_database,match_status,qa_status,qa_note,rcsb_polymer_entity_ids,result_count
182,10.1002/app.34263,ovalbumin,P01012,external_descriptor,RCSB PDB,not_queried,not_queried,,,
335,10.1002/bmc.4605,staphylococcal protein A,A0A0H3K686,external_descriptor,RCSB PDB,not_queried,not_queried,,,
336,10.1002/bmc.4605,protein G,Q59906,external_descriptor,RCSB PDB,not_queried,not_queried,,,
339,10.1002/bmc.4605,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
107,10.1002/jbm.a.36029,trypsin,P00760,external_descriptor,RCSB PDB,not_queried,not_queried,,,
109,10.1002/jbm.a.36029,cytochrome c,Q01519,external_descriptor,RCSB PDB,not_queried,not_queried,,,
110,10.1002/jbm.a.36029,hemoglobin,P68871,external_descriptor,RCSB PDB,not_queried,not_queried,,,
113,10.1002/jbm.a.36029,gamma globulins,P01034,external_descriptor,RCSB PDB,not_queried,not_queried,,,
114,10.1002/jbm.a.36029,fibrinogen,P02675,external_descriptor,RCSB PDB,not_queried,not_queried,,,
153,10.1002/jssc.201600992,hemoglobin,P68871,external_descriptor,RCSB PDB,not_queried,not_queried,,,
17,10.1002/mabi.200500085,casein,P05814,external_descriptor,RCSB PDB,not_queried,not_queried,,,
231,10.1016/j.biomaterials.2015.01.039,protein A,A0A0H3K686,external_descriptor,RCSB PDB,not_queried,not_queried,,,
90,10.1016/j.cis.2024.103359,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
369,10.1016/j.colsurfa.2026.140603,cytochrome c,Q01519,external_descriptor,RCSB PDB,not_queried,not_queried,,,
370,10.1016/j.colsurfa.2026.140603,trypsin,P00760,external_descriptor,RCSB PDB,not_queried,not_queried,,,
372,10.1016/j.colsurfa.2026.140603,glucose isomerase,Q59000,external_descriptor,RCSB PDB,not_queried,not_queried,,,
373,10.1016/j.colsurfa.2026.140603,collagen II,P02458,external_descriptor,RCSB PDB,not_queried,not_queried,,,
346,10.1016/j.jchromb.2021.122530,papain,P00784,external_descriptor,RCSB PDB,not_queried,not_queried,,,
174,10.1016/j.msec.2015.03.059,hemoglobin,P68871,external_descriptor,RCSB PDB,not_queried,not_queried,,,
150,10.1016/j.reactfunctpolym.2006.03.007,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
66,10.1016/j.seppur.2023.124999,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
67,10.1016/j.seppur.2023.124999,cytochrome C,Q01519,external_descriptor,RCSB PDB,not_queried,not_queried,,,
215,10.1021/acs.macromol.5b00834,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
216,10.1021/acs.macromol.5b00834,cytochrome c,Q01519,external_descriptor,RCSB PDB,not_queried,not_queried,,,
217,10.1021/acs.macromol.5b00834,trypsin,P00760,external_descriptor,RCSB PDB,not_queried,not_queried,,,
358,10.1021/acsbiomaterials.0c01690,ovalbumin,P01012,external_descriptor,RCSB PDB,not_queried,not_queried,,,
359,10.1021/acsbiomaterials.0c01690,lactase,P09848,external_descriptor,RCSB PDB,not_queried,not_queried,,,
361,10.1021/acsbiomaterials.0c01690,alcohol dehydrogenase,Q8GIX7,external_descriptor,RCSB PDB,not_queried,not_queried,,,
363,10.1021/acsbiomaterials.0c01690,lactate dehydrogenase,Q06502,external_descriptor,RCSB PDB,not_queried,not_queried,,,
365,10.1021/acsbiomaterials.0c01690,cytochrome C,Q01519,external_descriptor,RCSB PDB,not_queried,not_queried,,,
367,10.1021/acsbiomaterials.0c01690,F(ab')2 fragments,P05067,external_descriptor,RCSB PDB,not_queried,not_queried,,,
36,10.1021/acsomega.4c11143,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
38,10.1021/acsomega.4c11143,cytochrome c,Q01519,external_descriptor,RCSB PDB,not_queried,not_queried,,,
288,10.1021/bm070005p,avidin,P02701,external_descriptor,RCSB PDB,not_queried,not_queried,,,
312,10.1021/ie402148u,fluorescein-conjugated avidin,P02701,external_descriptor,RCSB PDB,not_queried,not_queried,,,
269,10.1021/la501772t,R-Phycoerythrin,O36004,external_descriptor,RCSB PDB,not_queried,not_queried,,,
31,10.1038/am.2017.71,carbonic anhydrase,P23280,external_descriptor,RCSB PDB,not_queried,not_queried,,,
32,10.1038/am.2017.71,Neisseria gonorrhoeae carbonic anhydrase,Q50940,external_descriptor,RCSB PDB,not_queried,not_queried,,,
256,10.1038/nprot.2013.027,concanavalin A,P02866,external_descriptor,RCSB PDB,not_queried,not_queried,,,
258,10.1038/nprot.2013.027,bacteriocin,O07623,external_descriptor,RCSB PDB,not_queried,not_queried,,,
219,10.1038/s41467-024-51734-7,trypsin,P00760,external_descriptor,RCSB PDB,not_queried,not_queried,,,
220,10.1038/s41467-024-51734-7,chymotrypsin,P07338,external_descriptor,RCSB PDB,not_queried,not_queried,,,
221,10.1038/s41467-024-51734-7,lipase,P54857,external_descriptor,RCSB PDB,not_queried,not_queried,,,
222,10.1038/s41467-024-51734-7,blood coagulation factor XIIIa,P00488,external_descriptor,RCSB PDB,not_queried,not_queried,,,
223,10.1038/s41467-024-51734-7,fibrin,Q5MCS0,external_descriptor,RCSB PDB,not_queried,not_queried,,,
160,10.1038/s41467-025-58338-9,laccase,Q12718,external_descriptor,RCSB PDB,not_queried,not_queried,,,
162,10.1038/s41467-025-58338-9,catalase,P04040,external_descriptor,RCSB PDB,not_queried,not_queried,,,
163,10.1038/s41467-025-58338-9,lipase,P54857,external_descriptor,RCSB PDB,not_queried,not_queried,,,
277,10.1038/s41467-026-68318-2,tumor necrosis factor alpha,O75888,external_descriptor,RCSB PDB,not_queried,not_queried,,,
98,10.1038/s43246-026-01144-7,Immunoglobulin G-degrading enzyme of Streptococcus pyogenes,F8V4V0,external_descriptor,RCSB PDB,not_queried,not_queried,,,
29,10.1080/09205063.2018.1534423,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
30,10.1080/09205063.2018.1534423,amylase,P21543,external_descriptor,RCSB PDB,not_queried,not_queried,,,
274,10.1080/09205063.2019.1570435,fibrinogen,P02675,external_descriptor,RCSB PDB,not_queried,not_queried,,,
276,10.1080/09205063.2019.1570435,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
55,10.1080/10601325.2012.703515,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
249,10.1080/10826068.2022.2081860,β-glucosidase,K0IKU8,external_descriptor,RCSB PDB,not_queried,not_queried,,,
356,10.3390/gels10030200,gelatin,Q15848,external_descriptor,RCSB PDB,not_queried,not_queried,,,
117,10.3390/gels11060402,hemoglobin,P68871,external_descriptor,RCSB PDB,not_queried,not_queried,,,
118,10.3390/gels11060402,lysozyme,P61626,external_descriptor,RCSB PDB,not_queried,not_queried,,,
119,10.3390/gels11060402,ovalbumin,P01012,external_descriptor,RCSB PDB,not_queried,not_queried,,,
