target_path,apply_status,patches,unique_dois,unique_records
outcome.removal_efficiency_pct,rejected_existing_value,61,31,50
outcome.retained_capacity_pct,applied,207,101,207
outcome.retained_capacity_pct,rejected_existing_value,183,115,143
outcome.selectivity_factor,applied,60,25,60
outcome.selectivity_factor,rejected_existing_value,118,41,90
outcome.surface_adsorption_ug_cm2,applied,28,13,28
outcome.surface_adsorption_ug_cm2,rejected_existing_value,30,16,30
protein.charge_at_experiment_pH,applied,90,32,90
protein.charge_at_experiment_pH,rejected_existing_value,74,24,72
protein.competitor_proteins,applied,359,93,359
protein.competitor_proteins,rejected_empty_value,5,1,5
protein.competitor_proteins,rejected_existing_value,119,65,97
protein.molecular_weight_kDa,applied,263,105,263
protein.molecular_weight_kDa,rejected_existing_value,223,39,179
protein.pI,applied,153,44,153
protein.pI,rejected_empty_value,9,2,9
protein.pI,rejected_existing_value,46,15,41
protein.protein_initial_concentration,applied,576,195,576
protein.protein_initial_concentration,rejected_existing_value,842,202,735
protein.protein_matrix,applied,63,26,63
protein.protein_matrix,rejected_existing_value,204,55,193
