doi,title,publisher,status,records_count,material_mentions_count,protein_mentions_count,special_fields_count,source_json,curation_decision,curation_reason,error_message
10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,The effect of gel composition on the uranyl ions adsorption capacity of poly(N-vinyl 2-pyrrolidone-g-citric acid) hydrogels prepared by gamma rays,Wiley,partial,0,7,0,3,local_article_corpus/Wiley/10.1002_1097-4628(20000801)77_5_1037__AID-APP10_3.0.CO;2-G/10.1002_1097-4628(20000801)77_5_1037__AID-APP10_3.0.CO;2-G.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,"Effect of pH, ionic strength, and temperature on uranyl ion adsorption by poly(N-vinyl 2-pyrrolidone-g-tartaric acid) hydrogels",Wiley,partial,0,7,0,3,local_article_corpus/Wiley/10.1002_1097-4628(20001213)78_12_2219__AID-APP200_3.0.CO;2-X/10.1002_1097-4628(20001213)78_12_2219__AID-APP200_3.0.CO;2-X.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,Use of superswelling acrylamide/maleic acid hydrogels for monovalent cationic dye adsorption,Wiley,partial,0,9,1,2,local_article_corpus/Wiley/10.1002_1097-4628(20010307)79_10_1809__AID-APP90_3.0.CO;2-L/10.1002_1097-4628(20010307)79_10_1809__AID-APP90_3.0.CO;2-L.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/1521-3935(20010101)202:1<163::AID-MACP163>3.0.CO;2-M,"The Synthesis, Characterization and Molecular Recognition Properties of Imprinted Microgels",Wiley,partial,0,1,0,2,local_article_corpus/Wiley/10.1002_1521-3935(20010101)202_1_163__AID-MACP163_3.0.CO;2-M/10.1002_1521-3935(20010101)202_1_163__AID-MACP163_3.0.CO;2-M.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adbi.201800312,Optoregulated Protein Release from an Engineered Living Material,Wiley,partial,0,7,2,3,local_article_corpus/Wiley/10.1002_adbi.201800312/10.1002_adbi.201800312.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.201702955,"Protein Biophosphors: Biodegradable, Multifunctional, Protein-Based Hydrogel for White Emission, Sensing, and pH Detection",Wiley,partial,0,6,3,3,local_article_corpus/Wiley/10.1002_adfm.201702955/10.1002_adfm.201702955.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.201900518,Construction of Nanozyme-Hydrogel for Enhanced Capture and Elimination of Bacteria,Wiley,partial,0,9,2,2,local_article_corpus/Wiley/10.1002_adfm.201900518/10.1002_adfm.201900518.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202108135,Nature Sunflower Stalk Pith with Zwitterionic Hydrogel Coating for Highly Efficient and Sustainable Solar Evaporation,Wiley,partial,0,6,0,2,local_article_corpus/Wiley/10.1002_adfm.202108135/10.1002_adfm.202108135.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202424994,Self-Regenerating Zwitterionic Hydrogel Coating Modified by Metal-Organic Framework for Integrated Anti-Biofouling and Anti-Corrosion,Wiley,partial,0,14,0,4,local_article_corpus/Wiley/10.1002_adfm.202424994/10.1002_adfm.202424994.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202513931,Harnessing Non-Covalent Protein-Protein Interaction Domains for Production of Biocatalytic Materials Systems,Wiley,partial,0,9,3,2,local_article_corpus/Wiley/10.1002_adfm.202513931/10.1002_adfm.202513931.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adfm.202519196,Generating Cell Surface Nucleated Hydrogels with an Artificial Membrane-Binding Transglutaminase,Wiley,partial,0,8,6,3,local_article_corpus/Wiley/10.1002_adfm.202519196/10.1002_adfm.202519196.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/adma.202102994,Molecular Engineering of Hydrogels for Rapid Water Disinfection and Sustainable Solar Vapor Generation,Wiley,partial,0,12,2,3,local_article_corpus/Wiley/10.1002_adma.202102994/10.1002_adma.202102994.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/admi.201601039,The Tethered Fibrillar Hydrogels Brushes for Underwater Antifouling,Wiley,partial,0,10,0,2,local_article_corpus/Wiley/10.1002_admi.201601039/10.1002_admi.201601039.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/admt.201800384,Direct Micropatterning of Phase Separation Membranes Using Hydrogel Soft Lithography,Wiley,partial,0,6,1,3,local_article_corpus/Wiley/10.1002_admt.201800384/10.1002_admt.201800384.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
